Key,English,Spanish
CS_LIMITED_OFFER,Limited Offer,Oferta Limitada
CS_NEW_COSTUME,New Costume,Traje nuevo 
CS_NEW_PICKUP_PET,New Pickup Pet,Nueva Mascota Receptora
CS_FASHION,Fashion,Moda
CS_FASHION_SETS,Fashion Sets,Conjuntos de moda
CS_FASHION_PIECES,Fashion Pieces,Piezas de moda
CS_CLOAKS,Cloaks,Capas
CS_MASKS_GLASSES_HAIR,Masks & Glasses & Hair,Máscaras y Gafas y Cabello
CS_PICKUP_PETS,Pickup Pets,Mascota Receptora
CS_FLYING,Flying,Volar
CS_CONSUMABLES,Consumables,Consumibles
CS_RECOVERY,Recovery,Rescate
CS_SCROLL,Scroll,Pergaminos
CS_BUFF,Buff,Impulso
CS_BLINKWING,Blink Wing,Ala parpadeante
CS_TRANS,Trans,Trans
CS_MATERIAL,Material,Material
CS_PROTECTION,Protection,Protección
CS_AWAKES,Awakes,Despertar
CS_UPGRADE,Upgrade,Mejorar
CS_RANDOM,Random,Aleatorio
CS_STONE,Stone,Piedra
CS_VENDOR_SHOP,Vendor Shop,Tienda del vendedor
CS_FLASK_POTION,Flask & Potion,Frasco y Poción
CS_MISC,Misc,Varios
CS_EFFECT,Effect,Efecto
CS_PENYA,Penya,Penya
CS_DISCOUNT,Discount,Descuento
CS_SPECIAL_PACKAGE,Special Package,Paquete Especial
CS_BLACK_FRIDAY,Black Friday,Black Friday
CS_REBORN_SALES,Reborn Sales,Ventas Renacidas
CS_FWC,FWC,FWC
CS_HOUSING,Housing,Viviendas
CS_EVENT,Event,Evento
CS_WORLD_TEMPLATE,World Template,Tema Global
CS_WORLD_THEME_PACK,Theme Pack,Paquete Temático
CS_WORLD_BUNDLE_PACK,Bundle Pack,Lote de Productos
CS_WORLD_SINGLE_PACK,Single Pack,Paquete Individual
CS_NPC,NPC,NPC
CS_COUPLE,Couple,Pareja
